id,pdbid,ndbid,polyclass,method
6WXQ,6WXQ,6WXQ,Protein/RNA,X-ray
6WXX,6WXX,6WXX,Protein/RNA,X-ray
6WXY,6WXY,6WXY,Protein/RNA,X-ray
6WY2,6WY2,6WY2,RNA,X-ray
6WY3,6WY3,6WY3,RNA,X-ray
6WYA,6WYA,6WYA,Protein/DNA,X-ray
6WYB,6WYB,6WYB,Protein/DNA/RNA,X-ray
6WYV,6WYV,,Protein/RNA,EM
6WZ5,6WZ5,,Protein/DNA,EM
6WZ9,6WZ9,,Protein/DNA,EM
6WZR,6WZR,6WZR,RNA,X-ray
6WZS,6WZS,6WZS,RNA,X-ray
6X0L,6X0L,,Protein/DNA,EM
6X0M,6X0M,,Protein/DNA,EM
6X0N,6X0N,,Protein/DNA,EM
6X1B,6X1B,6X1B,Protein/RNA,X-ray
6X1J,6X1J,6X1J,Protein/DNA,X-ray
6X26,6X26,,Protein/DNA/RNA,EM
6X2F,6X2F,,Protein/DNA/RNA,EM
6X2N,6X2N,,Protein/DNA/RNA,EM
6X43,6X43,,Protein/DNA/RNA,EM
6X4W,6X4W,,Protein/DNA/RNA,EM
6X4Y,6X4Y,,Protein/DNA/RNA,EM
6X50,6X50,,Protein/DNA/RNA,EM
6X59,6X59,,Protein/DNA,EM
6X5A,6X5A,,Protein/DNA,EM
6X5D,6X5D,6X5D,DNA,X-ray
6X5M,6X5M,6X5M,Protein/RNA,X-ray
6X5N,6X5N,6X5N,Protein/RNA,X-ray
6X67,6X67,,Protein/DNA,EM
6X68,6X68,,Protein/DNA,EM
6X6D,6X6D,6X6D,Protein/DNA,X-ray
6X6E,6X6E,6X6E,Protein/DNA,X-ray
6X6T,6X6T,,Protein/DNA/RNA,EM
6X6Z,6X6Z,6X6Z,Protein/DNA,X-ray
6X70,6X70,6X70,Protein/DNA,X-ray
6X71,6X71,6X71,Protein/DNA,X-ray
6X72,6X72,6X72,Protein/DNA,X-ray
6X73,6X73,6X73,Protein/DNA,X-ray
6X74,6X74,6X74,Protein/DNA,X-ray
6X75,6X75,6X75,Protein/DNA,X-ray
6X76,6X76,6X76,Protein/DNA,X-ray
6X77,6X77,6X77,Protein/DNA,X-ray
6X7F,6X7F,,Protein/DNA/RNA,EM
6X7K,6X7K,,Protein/DNA/RNA,EM
6X8B,6X8B,6X8B,DNA,X-ray
6X8C,6X8C,6X8C,DNA,X-ray
6X9I,6X9I,6X9I,Protein/DNA,X-ray
6X9J,6X9J,6X9J,Protein/DNA,X-ray
6X9K,6X9K,6X9K,Protein/DNA,X-ray
6X9Q,6X9Q,,Protein/DNA/RNA,EM
6XA1,6XA1,,Protein/RNA,EM
6XAH,6XAH,6XAH,DNA,NMR
6XAS,6XAS,,Protein/DNA/RNA,EM
6XAV,6XAV,,Protein/DNA/RNA,EM
6XB7,6XB7,6XB7,RNA,NMR
6XB8,6XB8,6XB8,Protein/DNA,X-ray
6XBU,6XBU,6XBU,Protein/DNA/RNA,X-ray
6XCL,6XCL,6XCL,DNA,X-ray
6XDQ,6XDQ,,Protein/DNA/RNA,EM
6XDR,6XDR,,Protein/DNA/RNA,EM
6XDV,6XDV,6XDV,DNA,X-ray
6XDW,6XDW,6XDW,DNA,X-ray
6XDX,6XDX,6XDX,DNA,X-ray
6XDY,6XDY,6XDY,DNA,X-ray
6XDZ,6XDZ,6XDZ,DNA,X-ray
6XE0,6XE0,,Protein/RNA,EM
6XEI,6XEI,6XEI,DNA,X-ray
6XEJ,6XEJ,6XEJ,DNA,X-ray
6XEK,6XEK,6XEK,DNA,X-ray
6XEL,6XEL,6XEL,DNA,X-ray
6XEM,6XEM,6XEM,DNA,X-ray
6XEO,6XEO,,Protein/DNA,EM
6XEZ,6XEZ,,Protein/RNA,EM
6XFC,6XFC,6XFC,DNA,X-ray
6XFD,6XFD,6XFD,DNA,X-ray
6XFE,6XFE,6XFE,DNA,X-ray
6XFF,6XFF,6XFF,DNA,X-ray
6XFG,6XFG,6XFG,DNA,X-ray
6XFW,6XFW,6XFW,DNA,X-ray
6XFX,6XFX,6XFX,DNA,X-ray
6XFY,6XFY,6XFY,DNA,X-ray
6XFZ,6XFZ,6XFZ,DNA,X-ray
6XG0,6XG0,6XG0,DNA,X-ray
6XG8,6XG8,6XG8,Protein/DNA,X-ray
6XGF,6XGF,,Protein/DNA/RNA,EM
6XGJ,6XGJ,6XGJ,DNA,X-ray
6XGK,6XGK,6XGK,DNA,X-ray
6XGL,6XGL,6XGL,DNA,X-ray
6XGM,6XGM,6XGM,DNA,X-ray
6XGN,6XGN,6XGN,DNA,X-ray
6XGO,6XGO,6XGO,DNA,X-ray
6XGW,6XGW,6XGW,Protein/DNA,X-ray
6XGX,6XGX,6XGX,Protein/DNA,X-ray
6XH0,6XH0,6XH0,Protein/RNA,X-ray
6XH1,6XH1,6XH1,Protein/RNA,X-ray
6XH2,6XH2,6XH2,Protein/RNA,X-ray
6XH3,6XH3,6XH3,Protein/RNA,X-ray
6XH7,6XH7,,Protein/DNA,EM
6XH8,6XH8,,Protein/DNA/RNA,EM
6XHV,6XHV,6XHV,Protein/RNA,X-ray
6XHW,6XHW,6XHW,Protein/RNA,X-ray
6XHX,6XHX,6XHX,Protein/RNA,X-ray
6XHY,6XHY,6XHY,Protein/RNA,X-ray
6XII,6XII,,Protein/DNA/RNA,EM
6XIJ,6XIJ,,Protein/DNA/RNA,EM
6XIQ,6XIQ,,Protein/RNA,EM
6XIR,6XIR,,Protein/RNA,EM
6XJD,6XJD,,Protein/DNA,EM
6XJQ,6XJQ,6XJQ,Protein/RNA,X-ray
6XJW,6XJW,6XJW,Protein/RNA,X-ray
6XJY,6XJY,6XJY,Protein/RNA,X-ray
6XJZ,6XJZ,6XJZ,Protein/RNA,X-ray
6XKI,6XKI,6XKI,Protein/RNA,X-ray
6XKN,6XKN,6XKN,RNA,X-ray
6XKO,6XKO,6XKO,RNA,X-ray
6XL1,6XL1,6XL1,Protein/RNA,X-ray
6XL5,6XL5,,Protein/DNA,EM
6XL6,6XL6,,Protein/DNA,EM
6XL9,6XL9,,Protein/DNA/RNA,EM
6XLA,6XLA,,Protein/DNA,EM
6XLJ,6XLJ,,Protein/DNA/RNA,EM
6XLK,6XLK,,Protein/DNA,EM
6XLL,6XLL,,Protein/DNA/RNA,EM
6XLM,6XLM,,Protein/DNA/RNA,EM
6XLN,6XLN,,Protein/DNA/RNA,EM
6XLV,6XLV,6XLV,Protein/RNA,X-ray
6XLW,6XLW,6XLW,Protein/RNA,X-ray
6XLX,6XLX,6XLX,Protein/RNA,X-ray
6XMF,6XMF,,Protein/RNA,EM
6XMG,6XMG,,Protein/RNA,EM
6XN3,6XN3,,Protein/RNA,EM
6XN4,6XN4,,Protein/RNA,EM
6XN5,6XN5,,Protein/RNA,EM
6XN7,6XN7,,Protein/RNA,EM
6XNA,6XNA,6XNA,DNA,X-ray
6XNX,6XNX,,Protein/DNA,EM
6XNY,6XNY,,Protein/DNA,EM
6XNZ,6XNZ,,Protein/DNA,EM
6XO5,6XO5,6XO5,DNA,X-ray
6XO6,6XO6,6XO6,DNA,X-ray
6XO7,6XO7,6XO7,DNA,X-ray
6XO8,6XO8,6XO8,DNA,X-ray
6XO9,6XO9,6XO9,DNA,X-ray
6XQB,6XQB,,Protein/RNA,EM
6XQD,6XQD,6XQD,Protein/RNA,X-ray
6XQE,6XQE,6XQE,Protein/RNA,X-ray
6XRQ,6XRQ,6XRQ,RNA,X-ray
6XRZ,6XRZ,,RNA,EM
6XT7,6XT7,6XT7,DNA,X-ray
6XTX,6XTX,,Protein/DNA,EM
6XU0,6XU0,6XU0,Protein/DNA,X-ray
6XU6,6XU6,,Protein/RNA,EM
6XU7,6XU7,,Protein/RNA,EM
6XU8,6XU8,,Protein/RNA,EM
6XUP,6XUP,6XUP,Protein/DNA,X-ray
6XUR,6XUR,6XUR,RNA,X-ray
6XUS,6XUS,6XUS,RNA,X-ray
6XWG,6XWG,6XWG,Protein/DNA,X-ray
6XWH,6XWH,6XWH,Protein/DNA,X-ray
6XWJ,6XWJ,6XWJ,RNA,NMR
6XWW,6XWW,6XWW,RNA,NMR
6XXA,6XXA,6XXA,RNA,NMR
6XXB,6XXB,6XXB,RNA,NMR
6XYW,6XYW,,Protein/RNA,EM
6XZ7,6XZ7,,Protein/RNA,EM
6XZA,6XZA,,Protein/RNA,EM
6XZB,6XZB,,Protein/RNA,EM
6XZD,6XZD,,Protein/RNA,EM
6XZG,6XZG,,Protein/RNA,EM
6XZP,6XZP,,Protein/RNA,EM
6XZQ,6XZQ,,Protein/RNA,EM
6XZR,6XZR,,Protein/RNA,EM
6Y0C,6Y0C,,Protein/RNA,EM
6Y0G,6Y0G,,Protein/RNA,EM
6Y0T,6Y0T,6Y0T,RNA,X-ray
6Y0Y,6Y0Y,6Y0Y,RNA,X-ray
6Y2L,6Y2L,,Protein/RNA,EM
6Y35,6Y35,6Y35,Protein/DNA,X-ray
6Y36,6Y36,6Y36,Protein/DNA,X-ray
6Y37,6Y37,6Y37,Protein/DNA,X-ray
6Y39,6Y39,6Y39,Protein/DNA,X-ray
6Y3G,6Y3G,6Y3G,RNA,X-ray
6Y42,6Y42,6Y42,Protein/DNA,X-ray
6Y4B,6Y4B,6Y4B,Protein/RNA,X-ray
6Y50,6Y50,,Protein/RNA,EM
6Y53,6Y53,,Protein/RNA,EM
6Y57,6Y57,,Protein/RNA,EM
6Y5D,6Y5D,,Protein/DNA,EM
6Y5E,6Y5E,,Protein/DNA,EM
6Y5Q,6Y5Q,,Protein/RNA,EM
6Y69,6Y69,,Protein/RNA,EM
6Y6X,6Y6X,,Protein/RNA,EM
6Y7C,6Y7C,,Protein/RNA,EM
6Y93,6Y93,6Y93,Protein/DNA,X-ray
6YAL,6YAL,,Protein/RNA,EM
6YAM,6YAM,,Protein/RNA,EM
6YAN,6YAN,,Protein/RNA,EM
6YBS,6YBS,,Protein/RNA,EM
6YBV,6YBV,,Protein/RNA,EM
6YBW,6YBW,,Protein/RNA,EM
6YCQ,6YCQ,6YCQ,Protein/DNA,X-ray
6YCS,6YCS,6YCS,Protein/DNA,X-ray
6YCV,6YCV,6YCV,DNA,NMR
6YDP,6YDP,,Protein/RNA,EM
6YDW,6YDW,,Protein/RNA,EM
6YEF,6YEF,,Protein/RNA,EM
6YEP,6YEP,6YEP,DNA,NMR
6YFT,6YFT,6YFT,Protein/RNA,X-ray
6YHS,6YHS,,Protein/RNA,EM
6YJB,6YJB,6YJB,Protein/DNA,X-ray
6YKF,6YKF,6YKF,Protein/DNA,X-ray
6YL2,6YL2,6YL2,Protein/DNA,X-ray
6YL5,6YL5,6YL5,RNA,X-ray
6YLB,6YLB,6YLB,RNA,X-ray
6YLG,6YLG,,Protein/RNA,EM
6YLH,6YLH,,Protein/RNA,EM
6YLX,6YLX,,Protein/RNA,EM
6YLY,6YLY,,Protein/RNA,EM
6YMC,6YMC,6YMC,RNA,X-ray
6YMG,6YMG,6YMG,Protein/DNA,X-ray
6YMI,6YMI,6YMI,RNA,X-ray
6YMJ,6YMJ,6YMJ,RNA,X-ray
6YMK,6YMK,6YMK,RNA,X-ray
6YML,6YML,6YML,RNA,X-ray
6YMM,6YMM,6YMM,RNA,X-ray
6YMV,6YMV,,Protein/DNA,EM
6YMW,6YMW,,Protein/DNA/RNA,EM
6YOV,6YOV,,Protein/DNA,EM
6YPU,6YPU,,Protein/RNA,EM
6YRB,6YRB,6YRB,Protein/RNA,X-ray
6YRQ,6YRQ,6YRQ,Protein/RNA,X-ray
6YS3,6YS3,,Protein/RNA,EM
6YS5,6YS5,,Protein/RNA,EM
6YSI,6YSI,,Protein/RNA,EM
6YSR,6YSR,,Protein/RNA,EM
6YSS,6YSS,,Protein/RNA,EM
6YST,6YST,,Protein/RNA,EM
6YSU,6YSU,,Protein/RNA,EM
6YT9,6YT9,,Protein/RNA,EM
6YTF,6YTF,,Protein/RNA,EM
6YUD,6YUD,6YUD,Protein/RNA,X-ray
6YUF,6YUF,,Protein/DNA,EM
6YW5,6YW5,,Protein/RNA,EM
6YWE,6YWE,,Protein/RNA,EM
6YWO,6YWO,6YWO,Protein/RNA,X-ray
6YWS,6YWS,,Protein/RNA,EM
6YWV,6YWV,,Protein/RNA,EM
6YWW,6YWW,6YWW,Protein/DNA,X-ray
6YWX,6YWX,,Protein/RNA,EM
6YWY,6YWY,,Protein/RNA,EM
6YXX,6YXX,,Protein/RNA,EM
6YXY,6YXY,,Protein/RNA,EM
6YY4,6YY4,6YY4,DNA,NMR
6YYM,6YYM,6YYM,Protein/RNA,X-ray
6YYT,6YYT,,Protein/RNA,EM
6Z0S,6Z0S,,Protein/DNA,EM
6Z18,6Z18,6Z18,RNA,X-ray
6Z1A,6Z1A,6Z1A,Protein/DNA,X-ray
6Z1P,6Z1P,,Protein/RNA,EM
6Z6B,6Z6B,6Z6B,Protein/RNA,X-ray
6Z6G,6Z6G,,Protein/RNA,EM
6Z6J,6Z6J,,Protein/RNA,EM
6Z6K,6Z6K,,Protein/RNA,EM
6Z6L,6Z6L,,Protein/RNA,EM
6Z6M,6Z6M,,Protein/RNA,EM
6Z6N,6Z6N,,Protein/RNA,EM
6Z6P,6Z6P,,Protein/DNA,EM
6Z8K,6Z8K,,Protein/RNA,EM
6Z8V,6Z8V,6Z8V,Protein/DNA,X-ray
6Z8W,6Z8W,6Z8W,Protein/DNA,X-ray
6Z8X,6Z8X,6Z8X,Protein/DNA,X-ray
6Z9P,6Z9P,,Protein/DNA/RNA,EM
6Z9Q,6Z9Q,,Protein/DNA/RNA,EM
6Z9R,6Z9R,,Protein/DNA/RNA,EM
6Z9S,6Z9S,,Protein/DNA/RNA,EM
6Z9T,6Z9T,,Protein/DNA/RNA,EM
6ZA3,6ZA3,6ZA3,Protein/DNA,X-ray
6ZAB,6ZAB,6ZAB,Protein/DNA,X-ray
6ZCE,6ZCE,,Protein/RNA,EM
6ZDP,6ZDP,6ZDP,Protein/RNA,X-ray
6ZDQ,6ZDQ,6ZDQ,Protein/RNA,X-ray
6ZDU,6ZDU,6ZDU,Protein/RNA,X-ray
6ZH8,6ZH8,,Protein/DNA,EM
6ZHA,6ZHA,,Protein/DNA,EM
6ZHE,6ZHE,,Protein/DNA,EM
6ZHX,6ZHX,,Protein/DNA,EM
6ZHY,6ZHY,,Protein/DNA,EM
6ZIX,6ZIX,6ZIX,Protein/DNA,X-ray
6ZJ2,6ZJ2,6ZJ2,Protein/DNA,X-ray
6ZJ3,6ZJ3,,Protein/RNA,EM
6ZL2,6ZL2,6ZL2,DNA,NMR
6ZL9,6ZL9,6ZL9,DNA,NMR
6ZLC,6ZLC,6ZLC,Protein/RNA,X-ray
6ZLW,6ZLW,,Protein/RNA,EM
6ZM2,6ZM2,6ZM2,Protein/RNA,X-ray
6ZM5,6ZM5,,Protein/RNA,EM
6ZM6,6ZM6,,Protein/RNA,EM
6ZM7,6ZM7,,Protein/RNA,EM
6ZME,6ZME,,Protein/RNA,EM
6ZMI,6ZMI,,Protein/RNA,EM
6ZMN,6ZMN,6ZMN,Protein/DNA,X-ray
6ZMO,6ZMO,,Protein/RNA,EM
6ZMT,6ZMT,,Protein/RNA,EM
6ZMW,6ZMW,,Protein/RNA,EM
6ZN5,6ZN5,,Protein/RNA,EM
6ZNC,6ZNC,6ZNC,Protein/DNA,X-ray
6ZNP,6ZNP,6ZNP,Protein/DNA,X-ray
6ZNQ,6ZNQ,6ZNQ,Protein/DNA,X-ray
6ZOJ,6ZOJ,,Protein/RNA,EM
6ZOK,6ZOK,,Protein/RNA,EM
6ZOL,6ZOL,,Protein/RNA,EM
6ZON,6ZON,,Protein/RNA,EM
6ZOT,6ZOT,6ZOT,Protein/RNA,X-ray
6ZP4,6ZP4,,Protein/RNA,EM
6ZPF,6ZPF,6ZPF,DNA/RNA,X-ray
6ZQ9,6ZQ9,6ZQ9,DNA/RNA,X-ray
6ZQA,6ZQA,,Protein/RNA,EM
6ZQB,6ZQB,,Protein/RNA,EM
6ZQC,6ZQC,,Protein/RNA,EM
6ZQD,6ZQD,,Protein/RNA,EM
6ZQE,6ZQE,,Protein/RNA,EM
6ZQF,6ZQF,,Protein/RNA,EM
6ZQG,6ZQG,,Protein/RNA,EM
6ZR1,6ZR1,6ZR1,DNA/RNA,X-ray
6ZRL,6ZRL,6ZRL,DNA/RNA,X-ray
6ZRM,6ZRM,6ZRM,DNA,NMR
6ZRS,6ZRS,6ZRS,DNA/RNA,X-ray
6ZS9,6ZS9,,Protein/RNA,EM
6ZSA,6ZSA,,Protein/RNA,EM
6ZSB,6ZSB,,Protein/RNA,EM
6ZSC,6ZSC,,Protein/RNA,EM
6ZSD,6ZSD,,Protein/RNA,EM
6ZSE,6ZSE,,Protein/RNA,EM
6ZSG,6ZSG,,Protein/RNA,EM
6ZTE,6ZTE,6ZTE,DNA,NMR
6ZTJ,6ZTJ,,Protein/DNA/RNA,EM
6ZTL,6ZTL,,Protein/DNA/RNA,EM
6ZTM,6ZTM,,Protein/DNA/RNA,EM
6ZTN,6ZTN,,Protein/DNA/RNA,EM
6ZTO,6ZTO,,Protein/DNA/RNA,EM
6ZTP,6ZTP,,Protein/DNA/RNA,EM
6ZU1,6ZU1,,Protein/DNA/RNA,EM
6ZU5,6ZU5,,Protein/RNA,EM
6ZU9,6ZU9,,Protein/RNA,EM
6ZUO,6ZUO,,Protein/RNA,EM
6ZV6,6ZV6,,Protein/RNA,EM
6ZVH,6ZVH,,Protein/RNA,EM
6ZVI,6ZVI,,Protein/RNA,EM
6ZVJ,6ZVJ,,Protein/RNA,EM
6ZVK,6ZVK,,Protein/RNA,EM
6ZW3,6ZW3,6ZW3,DNA/RNA,X-ray
6ZWU,6ZWU,6ZWU,DNA/RNA,X-ray
6ZWW,6ZWW,6ZWW,Protein/RNA,X-ray
6ZX5,6ZX5,6ZX5,DNA/RNA,X-ray
6ZX6,6ZX6,6ZX6,DNA,NMR
6ZX7,6ZX7,6ZX7,DNA,NMR
6ZX8,6ZX8,6ZX8,DNA/RNA,X-ray
6ZXD,6ZXD,,Protein/RNA,EM
6ZXE,6ZXE,,Protein/RNA,EM
6ZXF,6ZXF,,Protein/RNA,EM
6ZXG,6ZXG,,Protein/RNA,EM
6ZXH,6ZXH,,Protein/RNA,EM
6ZXZ,6ZXZ,6ZXZ,RNA,X-ray
6ZY5,6ZY5,,Protein/DNA,EM
6ZY6,6ZY6,,Protein/DNA,EM
6ZY7,6ZY7,,Protein/DNA,EM
6ZY8,6ZY8,,Protein/DNA,EM
6ZYB,6ZYB,6ZYB,RNA,X-ray
6ZYM,6ZYM,,Protein/RNA,EM
6ZZ6,6ZZ6,,Protein/DNA,EM
7A01,7A01,,Protein/RNA,EM
7A08,7A08,,Protein/DNA,EM
7A09,7A09,,Protein/RNA,EM
7A0R,7A0R,7A0R,Protein/RNA,X-ray
7A0S,7A0S,7A0S,Protein/RNA,X-ray
7A18,7A18,7A18,Protein/RNA,X-ray
7A1G,7A1G,,Protein/RNA,EM
7A3Y,7A3Y,7A3Y,RNA,NMR
7A5F,7A5F,,Protein/RNA,EM
7A5G,7A5G,,Protein/RNA,EM
7A5H,7A5H,,Protein/RNA,EM
7A5I,7A5I,,Protein/RNA,EM
7A5J,7A5J,,Protein/RNA,EM
7A5K,7A5K,,Protein/RNA,EM
7A5P,7A5P,,Protein/RNA,EM
7A9L,7A9L,7A9L,DNA/RNA,X-ray
7A9N,7A9N,7A9N,DNA/RNA,X-ray
7A9O,7A9O,7A9O,DNA/RNA,X-ray
7A9P,7A9P,7A9P,DNA/RNA,X-ray
7A9Q,7A9Q,7A9Q,DNA/RNA,X-ray
7A9R,7A9R,7A9R,DNA/RNA,X-ray
7A9S,7A9S,7A9S,DNA/RNA,X-ray
7A9T,7A9T,7A9T,DNA/RNA,X-ray
7A9W,7A9W,7A9W,Protein/RNA,X-ray
7A9X,7A9X,7A9X,Protein/RNA,X-ray
7AAP,7AAP,,Protein/RNA,EM
7AAV,7AAV,,Protein/RNA,EM
7ABF,7ABF,,Protein/RNA,EM
7ABG,7ABG,,Protein/RNA,EM
7ABH,7ABH,,Protein/RNA,EM
7ABI,7ABI,,Protein/RNA,EM
7ABS,7ABS,7ABS,Protein/DNA,X-ray
7ABZ,7ABZ,,Protein/RNA,EM
7AC7,7AC7,,Protein/RNA,EM
7ACJ,7ACJ,,Protein/RNA,EM
7ACR,7ACR,,Protein/RNA,EM
7ACS,7ACS,7ACS,Protein/RNA,NMR
7ACT,7ACT,7ACT,Protein/RNA,NMR
7AD8,7AD8,,Protein/DNA,EM
7ADB,7ADB,,Protein/DNA/RNA,EM
7ADC,7ADC,,Protein/DNA/RNA,EM
7ADD,7ADD,,Protein/DNA/RNA,EM
7ADE,7ADE,,Protein/DNA/RNA,EM
7ADU,7ADU,7ADU,Protein/DNA,X-ray
7ADV,7ADV,7ADV,Protein/DNA,X-ray
7AE1,7AE1,,Protein/DNA/RNA,EM
7AE3,7AE3,,Protein/DNA/RNA,EM
7AEA,7AEA,,Protein/DNA/RNA,EM
7AEO,7AEO,7AEO,Protein/DNA,X-ray
7AF3,7AF3,,Protein/RNA,EM
7AF5,7AF5,,Protein/RNA,EM
7AF8,7AF8,,Protein/RNA,EM
7AFA,7AFA,,Protein/RNA,EM
7AFD,7AFD,,Protein/RNA,EM
7AFH,7AFH,,Protein/RNA,EM
7AFI,7AFI,,Protein/RNA,EM
7AFK,7AFK,,Protein/RNA,EM
7AFL,7AFL,,Protein/RNA,EM
7AFN,7AFN,,Protein/RNA,EM
7AFO,7AFO,,Protein/RNA,EM
7AHX,7AHX,7AHX,Protein/DNA,X-ray
7AI5,7AI5,,Protein/DNA,EM
7AI6,7AI6,,Protein/DNA,EM
7AI7,7AI7,,Protein/DNA,EM
7AIB,7AIB,,Protein/DNA,EM
7AIC,7AIC,,Protein/DNA,EM
7AID,7AID,7AID,Protein/DNA,X-ray
7AIF,7AIF,7AIF,Protein/DNA,X-ray
7AIG,7AIG,7AIG,Protein/DNA,X-ray
7AIH,7AIH,,Protein/RNA,EM
7AII,7AII,7AII,Protein/DNA,X-ray
7AIJ,7AIJ,7AIJ,Protein/DNA,X-ray
7AJT,7AJT,,Protein/RNA,EM
7AJU,7AJU,,Protein/RNA,EM
7ALU,7ALU,7ALU,DNA,NMR
7AM2,7AM2,,Protein/RNA,EM
7AMN,7AMN,7AMN,Protein/DNA,X-ray
7AMT,7AMT,7AMT,Protein/DNA,X-ray
7AMV,7AMV,,Protein/DNA,EM
7ANE,7ANE,,Protein/RNA,EM
7AOE,7AOE,,Protein/DNA/RNA,EM
7AOH,7AOH,,Protein/DNA/RNA,EM
7AOI,7AOI,,Protein/RNA,EM
7AOR,7AOR,,Protein/RNA,EM
7AOZ,7AOZ,,Protein/DNA/RNA,EM
7AP8,7AP8,,Protein/DNA/RNA,EM
7AP9,7AP9,,Protein/DNA/RNA,EM
7APD,7APD,,Protein/DNA,EM
7AQC,7AQC,,Protein/RNA,EM
7AQD,7AQD,,Protein/RNA,EM
7ARE,7ARE,,DNA,EM
7ARQ,7ARQ,,DNA,EM
7ART,7ART,,DNA,EM
7ARV,7ARV,,DNA,EM
7ARY,7ARY,,DNA,EM
7AS5,7AS5,,DNA,EM
7AS8,7AS8,,Protein/RNA,EM
7AS9,7AS9,,Protein/RNA,EM
7ASA,7ASA,,Protein/RNA,EM
7ASE,7ASE,,Protein/RNA,EM
7ASM,7ASM,,Protein/RNA,EM
7ASN,7ASN,,Protein/RNA,EM
7ASO,7ASO,,Protein/RNA,EM
7ASP,7ASP,,Protein/RNA,EM
7AT8,7AT8,,Protein/DNA,EM
7ATG,7ATG,7ATG,DNA,X-ray
7ATZ,7ATZ,7ATZ,DNA,NMR
7AUD,7AUD,7AUD,Protein/DNA,X-ray
7AW7,7AW7,7AW7,Protein/DNA,X-ray
7AW9,7AW9,7AW9,Protein/DNA,X-ray
7AY1,7AY1,,Protein/DNA,EM
7AZO,7AZO,7AZO,Protein/RNA,X-ray
7AZS,7AZS,7AZS,Protein/RNA,X-ray
7AZY,7AZY,,Protein/RNA,EM
7B0C,7B0C,7B0C,Protein/DNA,X-ray
7B0F,7B0F,7B0F,Protein/DNA,X-ray
7B0G,7B0G,7B0G,Protein/DNA,X-ray
7B0H,7B0H,7B0H,Protein/DNA,X-ray
7B0Y,7B0Y,,Protein/DNA/RNA,EM
7B1Y,7B1Y,7B1Y,Protein/DNA,X-ray
7B20,7B20,7B20,Protein/DNA,X-ray
7B23,7B23,7B23,Protein/DNA,X-ray
7B24,7B24,7B24,Protein/DNA,X-ray
7B25,7B25,7B25,Protein/DNA,X-ray
7B3B,7B3B,,Protein/RNA,EM
7B3C,7B3C,,Protein/RNA,EM
7B3D,7B3D,,Protein/RNA,EM
7B46,7B46,7B46,Protein/DNA,X-ray
7B49,7B49,7B49,Protein/DNA,X-ray
7B4A,7B4A,7B4A,Protein/DNA,X-ray
7B4D,7B4D,7B4D,Protein/DNA,X-ray
7B4E,7B4E,7B4E,Protein/DNA,X-ray
7B4F,7B4F,7B4F,Protein/DNA,X-ray
7B4G,7B4G,7B4G,Protein/DNA,X-ray
7B4H,7B4H,7B4H,Protein/DNA,X-ray
7B4N,7B4N,7B4N,Protein/DNA,X-ray
7B4Z,7B4Z,7B4Z,DNA,NMR
7B5K,7B5K,,Protein/RNA,EM
7B5Y,7B5Y,,Protein/DNA,EM
7B71,7B71,7B71,DNA,NMR
7B72,7B72,7B72,DNA,NMR
7B7D,7B7D,,Protein/RNA,EM
7B9V,7B9V,,Protein/RNA,EM
7BAH,7BAH,7BAH,Protein/RNA,X-ray
7BAI,7BAI,7BAI,Protein/RNA,X-ray
7BCA,7BCA,7BCA,Protein/DNA,X-ray
7BCB,7BCB,7BCB,Protein/DNA,X-ray
7BDV,7BDV,7BDV,Protein/RNA,X-ray
7BEF,7BEF,,Protein/DNA,EM
7BEG,7BEG,,Protein/DNA,EM
7BFS,7BFS,7BFS,DNA,NMR
7BFX,7BFX,7BFX,DNA,NMR
7BG6,7BG6,,Protein/RNA,EM
7BG9,7BG9,,Protein/DNA/RNA,EM
7BGB,7BGB,,Protein/RNA,EM
7BGD,7BGD,,Protein/RNA,EM
7BGE,7BGE,,Protein/RNA,EM
7BHO,7BHO,,DNA,EM
7BHP,7BHP,,Protein/RNA,EM
7BHY,7BHY,7BHY,Protein/DNA,X-ray
7BI0,7BI0,7BI0,DNA,NMR
7BIL,7BIL,7BIL,Protein/DNA,X-ray
7BJQ,7BJQ,7BJQ,Protein/DNA,X-ray
7BKP,7BKP,,Protein/RNA,EM
7BKQ,7BKQ,,Protein/RNA,EM
7BL0,7BL0,7BL0,DNA,NMR
7BL2,7BL2,,Protein/RNA,EM
7BL3,7BL3,,Protein/RNA,EM
7BL4,7BL4,,Protein/RNA,EM
7BL5,7BL5,,Protein/RNA,EM
7BL6,7BL6,,Protein/RNA,EM
7BLM,7BLM,7BLM,DNA,NMR
7BMA,7BMA,7BMA,DNA,NMR
7BNA,7BNA,BDL005,DNA,X-ray
7BOD,7BOD,,Protein/RNA,EM
7BOE,7BOE,,Protein/RNA,EM
7BOF,7BOF,,Protein/RNA,EM
7BOG,7BOG,,Protein/RNA,EM
7BOH,7BOH,,Protein/RNA,EM
7BOI,7BOI,,Protein/RNA,EM
7BPF,7BPF,7BPF,DNA/RNA,X-ray
7BPG,7BPG,7BPG,DNA/RNA,X-ray
7BPV,7BPV,7BPV,DNA/RNA,X-ray
7BSE,7BSE,7BSE,DNA,X-ray
7BSF,7BSF,7BSF,DNA,X-ray
7BSG,7BSG,7BSG,DNA,X-ray
7BSH,7BSH,7BSH,DNA,X-ray
7BT6,7BT6,,Protein/RNA,EM
7BTB,7BTB,,Protein/RNA,EM
